date,spy_close,spy_open,spy_high,spy_low,spy_volume,spy_sma20,spy_sma50,spy_sma200,spy_above_sma20,spy_above_sma50,spy_above_sma200,spy_sma20_slope_up,spy_return_1d,spy_return_5d,spy_return_20d,spy_return_60d,spy_gap_pct,spy_range_pct,spy_range_pct_sma10,spy_range_expansion,spy_realized_vol_20d,qqq_close,qqq_above_sma20,qqq_above_sma50,qqq_return_1d,qqq_return_5d,qqq_realized_vol_20d,spy_qqq_divergence_1d,market_regime_label
2025-04-23,535.42,540.43,545.43,533.88,90565658,536.577,564.3166,573.2034,0,0,0,0,0.015495,-0.004074,-0.069579,-0.106695,0.024998,0.021572,0.032306,0.6677,0.53053,454.56,1,0,0.022678,-0.007489,0.58952,-0.007183,bearish
2025-04-24,546.69,536.715,547.43,535.4504,64149872,535.482,563.1442,573.1605,1,0,0,0,0.021049,0.040007,-0.038516,-0.095663,0.002419,0.021913,0.024368,0.8993,0.536405,467.35,1,0,0.028137,0.052164,0.597322,-0.007088,neutral
2025-04-25,550.64,546.65,551.05,543.69,60939590,534.66,562.0898,573.1346,1,0,0,0,0.007225,0.046029,-0.028991,-0.085027,-7.3e-05,0.013366,0.021096,0.6336,0.537376,472.56,1,0,0.011148,0.064085,0.598833,-0.003923,neutral
2025-04-28,550.85,551.39,553.55,545.02,47602355,534.4195,560.9122,573.0822,1,0,0,0,0.000381,0.071943,-0.008656,-0.089564,0.001362,0.015485,0.019581,0.7908,0.532737,472.41,1,0,-0.000317,0.090739,0.59107,0.000698,neutral
2025-04-29,554.32,548.91,555.45,548.55,47775121,534.166,559.8046,573.0714,1,0,0,0,0.006299,0.051342,-0.009063,-0.078927,-0.003522,0.012448,0.018893,0.6589,0.532667,475.53,1,0,0.006604,0.069857,0.591477,-0.000305,neutral
2025-04-30,554.54,547.57,556.52,541.52,93094138,533.8445,558.6656,573.0442,1,0,0,0,0.000397,0.03571,-0.011462,-0.072319,-0.012177,0.027049,0.020403,1.3257,0.532538,475.47,1,0,-0.000126,0.046001,0.590845,0.000523,neutral
2025-05-01,558.47,560.37,564.0699,557.86,63171646,533.542,557.5764,573.0288,1,1,0,0,0.007087,0.021548,-0.010717,-0.07197,0.010513,0.011119,0.018168,0.612,0.532674,481.68,1,1,0.013061,0.030662,0.592084,-0.005974,neutral
2025-05-02,566.76,564.73,568.38,562.38,60717270,535.045,556.704,573.0384,1,1,0,1,0.014844,0.029275,0.056009,-0.061997,0.011209,0.010586,0.017848,0.5931,0.500855,488.83,1,1,0.014844,0.034429,0.555876,0.0,bullish
2025-05-05,563.51,562.57,566.65,561.7,38608147,537.9565,555.9754,573.0712,1,1,0,1,-0.005734,0.022983,0.115243,-0.070606,-0.007393,0.008784,0.01615,0.5439,0.443966,485.93,1,1,-0.005933,0.028619,0.496406,0.000199,bullish
2025-05-06,558.8,557.93,563.3476,556.96,48264708,540.6775,555.2072,573.1019,1,1,0,1,-0.008358,0.008082,0.107895,-0.06986,-0.009902,0.011431,0.015375,0.7435,0.446011,481.41,1,1,-0.009302,0.012365,0.499583,0.000944,bullish
