activation_start,cancel_time,exit_time,variant_label,year,n_traded,win_rate,expectancy_r,n_time_exit
13:30,14:00,14:30,a=13:30_c=14:00_e=14:30,2024,563,0.05150976909413854,0.660744120911984,534
13:30,14:00,14:30,a=13:30_c=14:00_e=14:30,2025,1396,0.09598853868194843,0.9500328161141619,1261
13:30,14:00,14:30,a=13:30_c=14:00_e=14:30,2026,124,0.03225806451612903,0.5384922511905385,120
13:15,13:30,14:00,a=13:15_c=13:30_e=14:00,2021,456,0.03508771929824561,0.770910609483712,440
13:15,13:30,14:00,a=13:15_c=13:30_e=14:00,2022,845,0.04260355029585799,0.5816112629868002,809
13:15,13:30,14:00,a=13:15_c=13:30_e=14:00,2023,267,0.07865168539325842,0.685027934612481,246
13:15,13:30,14:00,a=13:15_c=13:30_e=14:00,2024,553,0.0433996383363472,0.6343180026689575,529
13:15,13:30,14:00,a=13:15_c=13:30_e=14:00,2025,1350,0.056296296296296296,0.9236077554917034,1273
13:15,13:30,14:00,a=13:15_c=13:30_e=14:00,2026,118,0.03389830508474576,0.5814333120582525,114
13:30,14:00,15:45,a=13:30_c=14:00_e=15:45,2021,470,0.036170212765957444,0.753553722344759,453
13:30,14:00,15:45,a=13:30_c=14:00_e=15:45,2022,882,0.06575963718820861,0.5947524720260183,820
13:30,14:00,15:45,a=13:30_c=14:00_e=15:45,2023,273,0.09157509157509157,0.6780510319002924,248
13:30,14:00,15:45,a=13:30_c=14:00_e=15:45,2024,563,0.06039076376554174,0.6459216309915616,529
13:30,14:00,15:45,a=13:30_c=14:00_e=15:45,2025,1396,0.11461318051575932,0.9255517660466207,1233
13:30,14:00,15:45,a=13:30_c=14:00_e=15:45,2026,124,0.04838709677419355,0.478435136449694,118
13:00,13:30,14:30,a=13:00_c=13:30_e=14:30,2021,463,0.0367170626349892,0.7940647164229656,446
13:00,13:30,14:30,a=13:00_c=13:30_e=14:30,2022,898,0.051224944320712694,0.5124326587326161,850
13:00,13:30,14:30,a=13:00_c=13:30_e=14:30,2023,275,0.08,0.6412000180339111,253
13:00,13:30,14:30,a=13:00_c=13:30_e=14:30,2024,559,0.05366726296958855,0.6643373580266815,529
13:00,13:30,14:30,a=13:00_c=13:30_e=14:30,2025,1375,0.09818181818181818,0.9617811857912437,1239
13:00,13:30,14:30,a=13:00_c=13:30_e=14:30,2026,120,0.03333333333333333,0.5564303124788768,116
13:00,13:15,14:30,a=13:00_c=13:15_e=14:30,2021,454,0.037444933920704845,0.808682434105641,437
13:00,13:15,14:30,a=13:00_c=13:15_e=14:30,2022,877,0.052451539338654506,0.5242370139331624,829
13:00,13:15,14:30,a=13:00_c=13:15_e=14:30,2023,262,0.08396946564885496,0.6769038914106186,240
13:00,13:15,14:30,a=13:00_c=13:15_e=14:30,2024,548,0.05474452554744526,0.6789322722278496,518
13:00,13:15,14:30,a=13:00_c=13:15_e=14:30,2025,1229,0.10577705451586655,0.9509995597333936,1098
13:00,13:15,14:30,a=13:00_c=13:15_e=14:30,2026,117,0.03418803418803419,0.5679404458262198,113
13:00,13:15,15:45,a=13:00_c=13:15_e=15:45,2021,454,0.037444933920704845,0.7754989653313719,437
13:00,13:15,15:45,a=13:00_c=13:15_e=15:45,2022,877,0.06727480045610035,0.5756705670258967,811
13:00,13:15,15:45,a=13:00_c=13:15_e=15:45,2023,262,0.09541984732824428,0.7022664676604672,236
13:00,13:15,15:45,a=13:00_c=13:15_e=15:45,2024,548,0.06204379562043796,0.6641913030686387,514
13:00,13:15,15:45,a=13:00_c=13:15_e=15:45,2025,1229,0.12530512611879577,0.9306928413289545,1072
13:00,13:15,15:45,a=13:00_c=13:15_e=15:45,2026,117,0.05128205128205128,0.5079189631401222,111
13:00,13:30,15:45,a=13:00_c=13:30_e=15:45,2021,463,0.0367170626349892,0.7652000885220489,446
13:00,13:30,15:45,a=13:00_c=13:30_e=15:45,2022,898,0.06570155902004454,0.5642993626696373,832
13:00,13:30,15:45,a=13:00_c=13:30_e=15:45,2023,275,0.09090909090909091,0.6700777954638006,249
13:00,13:30,15:45,a=13:00_c=13:30_e=15:45,2024,559,0.06082289803220036,0.6504841119705312,525
13:00,13:30,15:45,a=13:00_c=13:30_e=15:45,2025,1375,0.11709090909090909,0.9387611865163936,1211
13:00,13:30,15:45,a=13:00_c=13:30_e=15:45,2026,120,0.05,0.4948009286933342,114
13:30,14:00,MOC,a=13:30_c=14:00_e=MOC,2021,470,0.04042553191489362,0.7112826722471676,451
13:30,14:00,MOC,a=13:30_c=14:00_e=MOC,2022,882,0.07142857142857142,0.6037583858202545,814
13:30,14:00,MOC,a=13:30_c=14:00_e=MOC,2023,273,0.09157509157509157,0.6838958289303784,248
13:30,14:00,MOC,a=13:30_c=14:00_e=MOC,2024,563,0.06216696269982238,0.6353013579330464,528
13:30,14:00,MOC,a=13:30_c=14:00_e=MOC,2025,1396,0.12106017191977077,0.9280901040076762,1224
13:30,14:00,MOC,a=13:30_c=14:00_e=MOC,2026,124,0.04838709677419355,0.4830027677882561,118
