slice,template_id,entry_id,stop_id,target_id,use_risk_cancel,n_events,n_triggered,trigger_rate_pct,n_gap_fill_triggered,gap_fill_rate_pct,n_cancelled,n_valid_triggered,n_win,n_loss_total,n_both_hit,n_time_exit,win_rate_pct,loss_rate_pct,time_exit_rate_pct,mean_pnl_r,median_pnl_r,expectancy_r,mean_win_r,mean_risk_pct,mean_mae_proxy_r,mean_mfe_proxy_r,pct_mfe_above_2r
gap_directional_trap__gap_up_cl_low_020__bearish__medium_plus_large,E_close_band__S_fixed_2_0pct__T_fixed_2_0r,E_close_band,S_fixed_2_0pct,T_fixed_2_0r,False,9865,8772,88.92,4265,48.62,0,8772,1435,4503,1470,2834,16.36,51.33,32.31,-0.021,-1.0,-0.021,2.0,2.0,-1.424,2.07,33.12
gap_directional_trap__gap_up_cl_low_020__bearish__medium_plus_large,E_close_band__S_fixed_2_0pct__T_fixed_3_0r,E_close_band,S_fixed_2_0pct,T_fixed_3_0r,False,9865,8772,88.92,4265,48.62,0,8772,767,4503,1036,3502,8.74,51.33,39.92,0.042,-1.0,0.042,3.0,2.0,-1.424,2.07,33.12
gap_directional_trap__gap_up_cl_low_020__bearish__medium_plus_large,E_close_band__S_fixed_2_0pct__T_range_50pct,E_close_band,S_fixed_2_0pct,T_range_50pct,False,9865,8772,88.92,4265,48.62,0,8772,2585,4503,1467,1684,29.47,51.33,19.2,-0.031,-1.0,-0.031,1.441,2.0,-1.424,2.07,33.12
gap_directional_trap__gap_up_cl_low_020__bearish__medium_plus_large,E_close_band__S_fixed_2_0pct__T_range_75pct,E_close_band,S_fixed_2_0pct,T_range_75pct,False,9865,8772,88.92,4265,48.62,0,8772,1510,4503,934,2759,17.21,51.33,31.45,0.057,-1.0,0.057,2.205,2.0,-1.424,2.07,33.12
gap_directional_trap__gap_up_cl_low_020__bearish__medium_plus_large,E_close_band__S_fixed_2_5pct__T_fixed_2_0r,E_close_band,S_fixed_2_5pct,T_fixed_2_0r,False,9865,8772,88.92,4265,48.62,0,8772,1220,3649,1006,3903,13.91,41.6,44.49,0.063,-0.14,0.063,2.0,2.5,-1.139,1.656,25.38
gap_directional_trap__gap_up_cl_low_020__bearish__medium_plus_large,E_close_band__S_fixed_2_5pct__T_fixed_3_0r,E_close_band,S_fixed_2_5pct,T_fixed_3_0r,False,9865,8772,88.92,4265,48.62,0,8772,671,3649,676,4452,7.65,41.6,50.75,0.12,-0.145,0.12,3.0,2.5,-1.139,1.656,25.38
gap_directional_trap__gap_up_cl_low_020__bearish__medium_plus_large,E_close_band__S_fixed_3_0pct__T_fixed_2_0r,E_close_band,S_fixed_3_0pct,T_fixed_2_0r,False,9865,8772,88.92,4265,48.62,0,8772,1093,2993,710,4686,12.46,34.12,53.42,0.112,0.026,0.112,2.0,3.0,-0.949,1.38,20.55
gap_directional_trap__gap_up_cl_low_020__bearish__medium_plus_large,E_close_band__S_fixed_3_0pct__T_fixed_3_0r,E_close_band,S_fixed_3_0pct,T_fixed_3_0r,False,9865,8772,88.92,4265,48.62,0,8772,616,2993,440,5163,7.02,34.12,58.86,0.166,0.018,0.166,3.0,3.0,-0.949,1.38,20.55
gap_directional_trap__gap_up_cl_low_020__bearish__medium_plus_large,E_close_band__S_range_proxy_75pct__T_fixed_2_0r,E_close_band,S_range_proxy_75pct,T_fixed_2_0r,False,9865,8772,88.92,4265,48.62,0,8772,392,1179,25,7201,4.47,13.44,82.09,0.244,0.219,0.244,2.0,5.634,-0.56,0.758,4.75
gap_directional_trap__gap_up_cl_low_020__bearish__medium_plus_large,E_close_band__S_range_proxy_75pct__T_fixed_3_0r,E_close_band,S_range_proxy_75pct,T_fixed_3_0r,False,9865,8772,88.92,4265,48.62,0,8772,46,1179,6,7547,0.52,13.44,86.04,0.244,0.219,0.244,3.0,5.634,-0.56,0.758,4.75
gap_directional_trap__gap_up_cl_low_020__bearish__medium_plus_large,E_close_band__S_range_proxy_75pct__T_range_50pct,E_close_band,S_range_proxy_75pct,T_range_50pct,False,9865,8772,88.92,4265,48.62,0,8772,3798,1179,254,3795,43.3,13.44,43.26,0.136,0.327,0.136,0.667,5.634,-0.56,0.758,4.75
gap_directional_trap__gap_up_cl_low_020__bearish__medium_plus_large,E_close_band__S_range_proxy_75pct__T_range_75pct,E_close_band,S_range_proxy_75pct,T_range_75pct,False,9865,8772,88.92,4265,48.62,0,8772,2310,1179,134,5283,26.33,13.44,60.23,0.189,0.24,0.189,1.0,5.634,-0.56,0.758,4.75
gap_directional_trap__gap_up_cl_low_020__bearish__medium_plus_large,E_close_band__S_range_proxy_75pct__T_fixed_2_0r__cancel_risk_gt_5pct,E_close_band,S_range_proxy_75pct,T_fixed_2_0r,True,9865,4711,47.75,2533,53.77,4061,4711,189,846,19,3676,4.01,17.96,78.03,0.17,0.207,0.17,2.0,3.274,-0.623,0.762,4.42
gap_directional_trap__gap_up_cl_low_020__bearish__medium_plus_large,E_close_band__S_range_proxy_75pct__T_fixed_3_0r__cancel_risk_gt_5pct,E_close_band,S_range_proxy_75pct,T_fixed_3_0r,True,9865,4711,47.75,2533,53.77,4061,4711,30,846,5,3835,0.64,17.96,81.41,0.169,0.207,0.169,3.0,3.274,-0.623,0.762,4.42
