ticker,name,primary_exchange,latest_close,avg_volume
F,Ford Motor Company,XNYS,11.84,85065390
FAST,Fastenal Co,XNAS,44.89,7128110
FCX,Freeport-McMoran Inc.,XNYS,56.48,17633963
FE,FirstEnergy Corp.,XNYS,49.16,4632489
FHN,First Horizon Corporation,XNYS,22.69,7948900
FIG,"Figma, Inc.",XNYS,21.87,7599325
FISV,"Fiserv, Inc. Common Stock",XNAS,56.34,5634013
FITB,Fifth Third Bancorp,XNAS,45.99,7360609
FLEX,Flex Ltd. Ordinary Shares,XNAS,69.095,4297344
FLG,"Flagstar Bank, National Association",XNYS,13.14,5722890
FLNC,"Fluence Energy, Inc. Class A Common Stock",XNAS,16.15,5727021
FNB,F.N.B. Corp,XNYS,16.46,6437390
FOLD,"Amicus Therapeutics, Inc",XNAS,14.41,6248741
FRMI,Fermi Inc. Common Stock,XNAS,7.46,7034145
FRSH,Freshworks Inc. Class A Common Stock,XNAS,7.95,4254051
FSLY,"Fastly, Inc. Class A Common Stock",XNAS,28.2,5106467
FSM,Fortuna Mining Corp.,XNYS,9.21,13159167
FTI,TechnipFMC plc Ordinary Share,XNYS,70.16,4363914
FTNT,"Fortinet, Inc.",XNAS,79.34,6050006
GAP,"The Gap, Inc.",XNYS,25.49,9307395
GEN,Gen Digital Inc. Common Stock,XNAS,19.77,4812512
GIS,"General Mills, Inc.",XNYS,36.8,6493738
GLXY,Galaxy Digital Inc. Class A Common Stock,XNAS,21.3,7784149
GM,General Motors Company,XNYS,76.57,9768659
GME,GameStop Corp. Class A,XNYS,22.81,10118823
GOLD,"Gold.com, Inc.",XNYS,43.5,15572444
GPGI,"GPGI, Inc.",XNYS,18.42,4242703
GPK,Graphic Packaging Holding Company,XNYS,8.98,4709602
GT,Goodyear Tire & Rubber,XNAS,6.38,7304108
GTLB,GitLab Inc. Class A Common Stock,XNAS,20.66,4704460
GTM,ZoomInfo Technologies Inc Common Stock,XNAS,5.75,5820034
HAL,Halliburton Company,XNYS,38.11,13915900
HBAN,Huntington Bancshares Inc,XNAS,15.48,29521070
HBM,Hudbay Minerals Inc.,XNYS,18.95,6859514
HIMS,"Hims & Hers Health, Inc.",XNYS,21.34,32907673
HL,Hecla Mining Company,XNYS,17.93,23168956
HOOD,"Robinhood Markets, Inc. Class A Common Stock",XNAS,69.08,37110649
HPE,Hewlett Packard Enterprise Company,XNYS,23.9,22515152
HPQ,HP Inc.,XNYS,18.89,12337271
HRL,Hormel Foods Corporation,XNYS,22.65,4143882
HST,"Host Hotels & Resorts, Inc.",XNAS,18.97,9159542
HUN,Huntsman Corporation,XNYS,11.41,5128917
HUT,Hut 8 Corp. Common Stock,XNAS,53.25,6273868
IAG,IAMGold Corporation,XNYS,17.02,12520152
IBRX,"ImmunityBio, Inc. Common Stock",XNAS,7.415,16545034
INTC,Intel Corp,XNAS,44.06,100927388
INVH,Invitation Homes Inc. Common Stock,XNYS,25.01,4803760
IONQ,"IonQ, Inc.",XNYS,32.7,23106347
IOT,Samsara Inc.,XNYS,32.09,6094173
IP,International Paper Co.,XNYS,36.14,5189086
IREN,IREN Limited Ordinary Shares,XNAS,41.12,31418524
JBS,JBS N.V.,XNYS,15.34,5301184
JHX,James Hardie Industries plc,XNYS,19.36,6333430
JOBY,"Joby Aviation, Inc.",XNYS,8.99,29110221
KDP,Keurig Dr Pepper Inc.,XNAS,26.21,14172258
KEY,KeyCorp,XNYS,19.82,19444423
KGC,Kinross Gold Corporation,XNYS,27.92,15682904
KHC,The Kraft Heinz Company Common Stock,XNAS,21.32,14807218
KIM,Kimco Realty Corp.,XNYS,22.56,4944103
KMI,"Kinder Morgan, Inc.",XNYS,33.93,14024831
KMX,CarMax Inc.,XNYS,42.1,4027450
KO,Coca-Cola Company,XNYS,74.67,16752708
KSS,Kohls Corporation,XNYS,12.35,8209202
KVUE,Kenvue Inc.,XNYS,17.55,31015054
LCID,"Lucid Group, Inc. Common Stock",XNAS,10.36,10434201
LUMN,"Lumen Technologies, Inc.",XNYS,6.79,14460725
LUV,Southwest Airlines Co.,XNYS,39.83,10757405
LVS,Las Vegas Sands Corp.,XNYS,54.9,5540980
LYB,LyondellBasell Industries N.V. Class A,XNYS,76.01,5479471
