ticker,name,primary_exchange,latest_close,latest_close_date,average_daily_volume,average_daily_dollar_volume,price_bucket,adv_dollar_bucket,recent_gap_frequency_proxy,recent_range_expansion_proxy,overnight_planning_suitability_score,include_in_working_universe,exclusion_reason
REPL,"Replimune Group, Inc.",XNAS,6.97,2026-03-24,1385569,10835162,price_5_10,adv_5m_20m,0.6774,0.065537,0.618,True,
PTCT,"PTC Therapeutics, Inc.",XNAS,64.54,2026-03-24,1235737,88784767,price_40_80,adv_50m_100m,0.5484,0.039511,0.6178,True,
RAL,Ralliant Corporation,XNYS,42.58,2026-03-24,1800483,83321127,price_40_80,adv_50m_100m,0.5968,0.03602,0.6177,True,
ZG,ZILLOW GROUP INC CLASS A,XNAS,45.09,2026-03-24,1149295,59860794,price_40_80,adv_50m_100m,0.5645,0.044444,0.6177,True,
LB,LandBridge Company LLC,XNYS,72.38,2026-03-24,526413,32399161,price_40_80,adv_20m_50m,0.5645,0.056636,0.6176,True,
FLS,Flowserve Corporation,XNYS,75.39,2026-03-24,1457982,116469170,price_40_80,adv_100m_plus,0.6452,0.02917,0.6174,True,
ASO,"Academy Sports and Outdoors, Inc.",XNAS,53.54,2026-03-24,1561430,87356467,price_40_80,adv_50m_100m,0.5161,0.042749,0.6173,True,
PRKS,United Parks & Resorts Inc.,XNYS,30.99,2026-03-24,1111688,39405942,price_20_40,adv_20m_50m,0.6452,0.041863,0.6172,True,
MAS,Masco Corporation,XNYS,60.37,2026-03-24,2571038,175737411,price_40_80,adv_100m_plus,0.6129,0.02783,0.6171,True,
PWP,Perella Weinberg Partners Class A Common Stock,XNAS,17.24,2026-03-24,950697,19100606,price_10_20,adv_5m_20m,0.7097,0.047828,0.617,True,
BA,Boeing Company,XNYS,196.42,2026-03-24,7300934,1676449598,price_80_200,adv_100m_plus,0.4677,0.027542,0.617,True,
EYPT,"EyePoint, Inc. Common Stock",XNAS,12.59,2026-03-24,1321381,20386960,price_10_20,adv_20m_50m,0.5484,0.069304,0.6167,True,
OMC,Omnicom Group Inc.,XNYS,75.39,2026-03-24,4862778,379168146,price_40_80,adv_100m_plus,0.4677,0.031752,0.6165,True,
ROOT,"Root, Inc. Class A Common Stock",XNAS,46.72,2026-03-24,329217,19526850,price_40_80,adv_5m_20m,0.6613,0.052389,0.6164,True,
ANAB,"AnaptysBio, Inc. Common Stock",XNAS,63.02,2026-03-24,513831,27623220,price_40_80,adv_20m_50m,0.5484,0.062192,0.6164,True,
GRPN,"Groupon, Inc.Common Stock",XNAS,10.6,2026-03-24,1215586,16329870,price_10_20,adv_5m_20m,0.6452,0.058013,0.616,True,
AMZN,Amazon.Com Inc,XNAS,207.24,2026-03-24,48026130,10564398516,price_200_500,adv_100m_plus,0.5161,0.024122,0.6158,True,
