ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,share_class_figi,last_updated_utc
LIVN,LivaNova PLC Ordinary Shares,stocks,us,XNAS,CS,True,usd,0001639691,,,2026-03-24T06:07:49.663760753Z
LIXT,"Lixte Biotechnology Holdings, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001335105,BBG000TC15T7,BBG001SZV9C2,2026-03-24T06:07:49.663760863Z
LKFN,Lakeland Financial Corp,stocks,us,XNAS,CS,True,usd,0000721994,BBG000BHR1R8,BBG001S7RTC5,2026-03-24T06:07:49.663761384Z
LKQ,LKQ Corporation,stocks,us,XNAS,CS,True,usd,0001065696,BBG000PXDL44,BBG001SCCPJ1,2026-03-24T06:07:49.663761625Z
LKSP,Lake Superior Acquisition Corp. Class A Ordinary Shares,stocks,us,XNAS,CS,True,usd,0002043508,,,2026-03-24T06:07:49.663761735Z
LLY,Eli Lilly & Co.,stocks,us,XNYS,CS,True,usd,0000059478,BBG000BNBDC2,BBG001S5STL8,2026-03-24T06:07:49.663762536Z
LLYVA,"Liberty Live Holdings, Inc. Series A Liberty Live Group Common Stock",stocks,us,XNAS,CS,True,usd,0000869614,BBG01YY256K1,BBG01YY256L0,2026-03-24T06:07:49.663762647Z
LLYVK,"Liberty Live Holdings, Inc. Series C Liberty Live Group Common Stock",stocks,us,XNAS,CS,True,usd,0000869614,BBG01YYX1Z14,BBG01YYX1Z23,2026-03-24T06:07:49.663762757Z
LMAT,"LeMaitre Vascular, Inc.",stocks,us,XNAS,CS,True,usd,0001158895,BBG000LY1HS2,BBG001SK6CX3,2026-03-24T06:07:49.663762977Z
LMB,"Limbach Holdings, Inc Common Stock",stocks,us,XNAS,CS,True,usd,0001606163,BBG006G0NGC4,BBG006G0NGD3,2026-03-24T06:07:49.663763097Z
LMFA,"LM Funding America, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001640384,BBG00BLYZ516,BBG00BLYZ5S7,2026-03-24T06:07:49.663763618Z
LMND,"Lemonade, Inc.",stocks,us,XNYS,CS,True,usd,0001691421,BBG00BM5YC05,BBG00BM5YC14,2026-03-24T06:07:49.663763759Z
LMRI,"Lumexa Imaging Holdings, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0002071288,BBG01YLK99T6,BBG01YLK9BQ4,2026-03-24T06:07:49.663764109Z
LMT,Lockheed Martin Corp.,stocks,us,XNYS,CS,True,usd,0000936468,BBG000C1BW00,BBG001S7PS57,2026-03-24T06:07:49.66376422Z
LNAI,Lunai Bioworks Inc. Common Stock,stocks,us,XNAS,CS,True,usd,0001527728,BBG0060CNMG8,BBG0060CNMH7,2026-03-24T06:07:49.663764701Z
LNC,Lincoln National Corp.,stocks,us,XNYS,CS,True,usd,0000059558,BBG000BNC3Y9,BBG001S5STV7,2026-03-24T06:07:49.663764821Z
LNG,Cheniere Energy Inc,stocks,us,XNYS,CS,True,usd,0000003570,BBG000C3HSR0,BBG001S7W158,2026-03-24T06:07:49.663765161Z
LNKB,"LINKBANCORP, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001756701,BBG00M69LH40,BBG00M69LH59,2026-03-24T06:07:49.663765652Z
LNKS,Linkers Industries Limited Class A Ordinary Shares,stocks,us,XNAS,CS,True,usd,0001972074,,,2026-03-24T06:07:49.663765773Z
LNN,Lindsay Corporation,stocks,us,XNYS,CS,True,usd,0000836157,BBG000FJS1S8,BBG001SB90F6,2026-03-24T06:07:49.663765883Z
LNT,Alliant Energy Corporation Common Stock,stocks,us,XNAS,CS,True,usd,0000352541,BBG000DW4Q75,BBG001S8ZQ30,2026-03-24T06:07:49.663766223Z
